"","RAV188","RAV1575","RAV324","RAV61","RAV1008","RAV833","RAV868","RAV190","RAV220","RAV64","RAV834","RAV192","RAV438"
"TCGA-CM-5344",0.315245313442809,0.118743205076663,-0.398661105721599,-0.126431806497649,0.47534004162772,-0.76021457626168,-0.530407253197567,-0.530537564408897,0.320731431270326,-0.025329721152419,-0.997045698007564,0.118445618116015,0.40775449316897
"TCGA-CK-5913",0.160676548801463,0.371722582904028,0.731462680559428,-0.228746782464396,-0.0415886185884657,0.27190893357126,0.496738018139861,0.71522101949126,-0.342935588575783,0.237581826064255,1.83638070725463,0.206020527496449,-0.868986942122123
"TCGA-F4-6570",0.97248543819604,1.14526959936059,-0.261252618761604,-0.796978830265686,0.37534761932845,-0.657403069395633,-0.455903633794092,-0.257488314200764,0.864011342916399,-1.20307157938499,1.35002294249405,-1.01384354464197,0.566951806669817
"TCGA-DM-A1D9",-0.563472187581317,-0.411310083215653,0.766742726368846,0.217061055471609,-0.389591413859697,0.768824082624416,1.45246157579893,0.210992052134478,-0.803920401911413,0.779581163567778,-0.542683966388118,1.21644830194059,-1.55384859019501
"TCGA-F4-6461",0.697122719178907,0.756419454952159,-1.1755794948406,-0.380192786968358,0.933561211137207,-0.812025345911526,-1.16361198004882,-0.71924914715871,0.83628868314697,-1.14080855795256,0.165398901699375,-1.06019439753284,1.46224530505809
"TCGA-CK-5912",-0.499913797812872,-0.670529343489938,0.0354819315624152,0.700860856442625,-0.359240229563614,0.166563372545053,0.32289788033676,0.285634530842075,-0.611333488216933,0.678161998621312,-1.19554313243387,-0.490666759445704,0.290782528581683
"TCGA-AY-A71X",-1.76909158593351,-1.12734007567017,1.50422088664384,1.16871921292512,-1.11789307188439,1.89357819119272,1.46733545176024,1.25336946453263,-1.18279865033561,1.18276221002655,0.977142994031299,1.99501480737405,-1.02023821092549
"TCGA-A6-5659",0.296890896677937,-0.0402291865448589,-0.369361343916508,-0.264722632328844,0.255069852415203,-0.519560474969782,0.0618269946146391,-0.741139302760793,0.133773278983509,0.0551261271743573,-1.60943329091544,0.00719409786862792,-0.254413006513579
"TCGA-F4-6463",1.05411423550364,0.670058954174735,-1.41733288632512,-0.747705288773782,1.3933482879669,-1.20537996344082,-1.2915718687334,-1.28041728762972,0.616677696865375,-0.769190758520844,-1.03446482695547,-0.507600074327315,0.739068419679132
"TCGA-G4-6307",-1.10880774642553,-1.0302268871278,1.20400796185785,0.340469491473775,-0.994711699690947,1.27178429154696,1.61704747261151,-0.0904320364379077,-0.714415953593688,0.706049418078343,-0.271849194373192,2.24810729914589,-1.48434989167441
"TCGA-A6-6141",-0.293458504453827,-0.100986535852712,-0.257684112869907,0.286051507695863,0.0160833021662743,0.410573614323821,-0.428888785882892,0.34634928639854,0.162245717084521,-0.272686123132483,0.401591449301826,-0.359037761355046,0.879590075807724
